ID	Abstract
25	Cell-mediated cytotoxicity of adherent and non-adherent subpopulations of mouse lymph node cells sensitized in vitro on monolayers of syngeneic, methylcholanthrene-induced sarcoma cells was examined by inhibition of 3H-thymidine incorporation. The cell-mediated cytotoxicity of nylon wood-adherent, non-adherent and unfractionated lymph node cells was found to be equally efficient. 
26	The clinical results with cardioplegic solutions and hypothermia during aortic cross-clamping are compared with the clinical results obtained with hypothermia only. To complete the study miocardial biopsies were obtained during aortic cross-clamping in order to evaluate the concentration of ATP and CPK. The obtained data confirm the effectiveness of the myocardial protection. 
27	Two patients are reported with hypersensitivity myocarditis. One, a 71-year-old female, was being treated with methyldopa at the time of her death and the second, a 67-year-old female, was receiving tetracycline for a respiratory tract infection. 
28	During serial subcultures 50 micrograms per ml gentamicin and penicillin (100 U per ml)-streptomycin (100 micrograms per ml) depressed cell growth signficantly 2 weeks after the addition of the antibiotics; gentamicin, but not penicillin-streptomycin, stimulated cell growth before it became inhibitory. Removal of the antibiotics resulted in the cell yield returning to normal. The results show that these antibiotics can be harmful to cells even at concentrations thought to be safe. 
29	Naegleria and Acanthamoeba are ubiquitous, free-living amoebas. Infections with Naegleria are acquired nasally by exposure to water and are characterized by an acute fulminant hemorrhagic necrotizing meningoencephalitis leading to death. Acanthamoeba-infections occur in chronically ill, debilitated individuals. A patchy chronic or subacute granulomatous encephalitis is produced by hematogenous spread of the amoebas. The histological or clinical diagnosis is not difficult. 
30	[Glu(OMe)4]oxytocin (XVI) and [Mpr1, Glu(OMe)4]oxytocin (XVII) bearing a methyl ester group in place of the carboxamide group in position 4 of oxytocin were synthesized by (3 + 6) segment condensation using the S-trityl group for the protection of the cysteine side chains. Analogue XVI exhibited 10.5 U/mg in vitro uterotonic, and 42 U/mg avian vasodepressor, activity, and analogue XVII 21.4 U/mg and 82 U/mg of the respective activities. Both compounds showed no response in the rat pressor assay. 
31	31 year old man developed malignant hyperthermia [106.7 oF] 6 hours after ingesting phencyclidine with coma, seizures and subsequent renal failure requiring a 25 day hospitalization; no mention of ALT levels or liver injury.
32	We reviewed 26 patients with brain stem tumors. None had a pre-treatment tissue diagnosis. Four of the 20 treated patients are alive from 22 months to 12 years later, representing no improvement from a preceding series in the same centre. 
33	It is believed that partial destruction of the hepatic lymph drainage during the operation of hepato-portoenterostomy is probably the cause of postoperative attacks of cholangitis. Experimental evidence is described that appears to show that omentopexy to the porta hepatis will aid hepatic lymph drainage and may thus prevent postoperative cholangitis. 
34	Bacteria induce urinary crystallization of struvite and carbonate-apatite as a by-product of ureolysis by urease. Eradication of infection and/or inhibition of urease with acetohydroxamic acid for 5 to 30 months retarded stone growth and brought about partial or comple dissolution of stones in 9 patients. Long-term chemotherapy with antimicrobial agents that achieve steril urine or acetohydroxamic acid in those patients with recalcitrant infection lessens the risk of recurrent calculogenesis. 
35	"Bicycle ergometry on the ""Elema"" electrical bicycle ergometer was conducted on 6, patients of climacteric age (41 to 55 years) with pain in the region of the heart and ECG changes. The method made it possible to confirm the diagnosis of climacteric cardiopathy in 39 and to reveal climacteric cardiopathy and concurrent ischemic heart disease in 23 patients. It was noted that physical load had a favourable effect on processes of repolarization in the myocardium of patients with climacteric cardiopathy. "
36	On the dogs with a Thiry-Pavlov fistula (an isolated loop of the small intestine) the effect of 30-min acceleration on the absorption of thiamine-bromide, riboflavine, pyridoxine-hydrochloride and ascorbic acid as well as on the gastric juice secretion was studied. It was demonstrated that back-to-forth linear acceleration increased vitamin B1 absorption, decreased vitamins B2 and B6 and ascorbic acid absorption, and altered secretion of gastric juice. 
37	Four women, ages 20, 30, 35 and 68 years, who had repeated episodes of liver injury after sulfonamides with shortening of latency upon reexposure, but no worsening of injury [usually hepatocellula] or slowing of resolution, which ranged from 4-12 weeks.
38	"Histologic description of livers from 30 vineyard sprayers' exposed chronically to high levels of copper, found copper granules in Kupffer cells in all 30, with granulomas, fibrosis [portal], nodular regeneration [""liver function was usually normal""] angiosarcoma, cirrhosis and NCPH, although the rates of these findings were not given."
39	A fluorimetric method for analysis of tranylcypromine from plasma is described. After extraction from plasma tranylcypromine reacts with 1-dimethylamino-naphthaline-5-sulfonic acid chloride (DANS-Cl) in order to form the highly fluorescent DANS-tranylcypromine. After chromatographic separation on silicagel plates quantitation is achieved by in situ fluorescence determination. The recovery of tranylcypromine from plasma is 64% with a coefficient of variance of about +/- 6%. 
40	Domperidone (R 33812) was injected i.v. for the prevention of nausea and vomiting in a total of 395 cytostatic treatment courses in 172 patients. The total dose ranged from 1 to 40 mg and was given in one or several doses. Even after the administration of severely emetic substances, vomiting and nausea were largely prevented in hospitalized patients, but the results were rather poor in ambulatory patients. In all of the cytostatic treatment schedules very favourable results were obtained. 
41	The experiment carried out on 6 volunteers shows a better bioavailability of a 75 mg single oral dose of Persantin (Boehringer) than of the same dose of Curantyl (Germed). The difference is due to the manner in which the dragĂ©es are manufactured: the bioavailability of both preparations was the same when the dragĂ©es were pulverized before oral administration. 
42	Elevated doses of the cytostatic cyclophosphamide (Endoxan) given daily for 6 weeks, resulted in a prolonged course of experimental trichophytosis in guinea-pigs. From this phenomenon, it may be concluded that the short self-healing course of this disease is due to a rapid triggering of immunoreactions. The fractionated treatment with cyclophosphamide at defined intervals (50 mg/kg initially and 30 mg/kg at 4-day intervals) did not result in any effect. 
43	Newly developed carbonic acids with hypoglycaemic properties are presented. Their activity is based on an insulin secretion with unusual biphasic dynamics which is seen both after enteral and parenteral administration. In vitro, the substances described have an inhibitory effect on gluconeogenesis in the liver and lipolysis in adipose tissue. 
44	After vaginal application econazol is absorbed to a high degree. Plasma levels are maintained for a relatively long period. Metabolism occurs in the vagina already. As there are no objections concerning toxicology the fact of absorption is considered positive from the therapeutical view-point because this drug does exert its effect not only in the vaginal cavity but also in the epithelium. It is suggested that vaginal absorption is influenced by cervical mucus. 
45	In particular, the action of N alpha-methyl-histamine has to be considered since its secretory response is approximately 1.5 times greater than that of histamine and its secretion lasted for a longer period of time. After C-5-alkylsubstitution, both 5-methyl-histamine and N alpha,5-dimethyl-histamine showed secretory action comparable to that of histamine; the agonistic activity, however, decreased with increasing chain length. 
46	The interaction between human and bovine serum albumins (HSA and BSA) were studied with two derivatives of benzamide, metoclopramide (PrimpĂ©ran) and sultopride (BarnĂ©til). It was possible to evaluate association constants (K ass.) characterising this interaction by fluorescence probe technique inspite of the very low binding tendency, which can be correlated to pharmacokinetic properties of these drugs. 
47	It has been suggested in the past that milk causes an impaired absorption of tetracycline and this paper describes a study set up to examine any inhibition of absorption of a tetracycline derivative, lymecycline (Tetralysal) with the concurrent intake of milk. The results of the study show no clinical reason for restricting a moderate intake of milk in conjunction with lymecycline therapy. 
48	During the period October 1976 to January 1978, 290 patients were examined for sexually transmitted diseases in three venereal clinics in Khartoum Providence. Clinical and laboratory findings showed that nongonococcal urethritis was the commonest STD in men (35.1%), with gonorrhoea the second commonest (25.9%). Most of the patients with STDs were aged between 20 and 30 years. Of the infected men, 49.3% had acquired their infections from prostitutes. 
49	When guinea pigs were sensitized to tuberculin by exposure to complete Freund's adjuvant the size of the intradermal PPD test was positively correlated to the body weight of the animal. Old Tuberculin showed stimulating effect in a subsequent sensitization to merthiolate (thimerosal). The high frequency of delayed cutaneous allergy to merthiolate in Swedish population is probably explained by sensitization through intradermal testing with tuberculin containing merthiolate as a preservative. 
50	"A 7-year-old boy with previously diagnosed multifocal eosinophilic granuloma displayed signs and symptoms of a cervical radiculopathy. After myelograpic demonstration of extradural compression, corticosteroid and radiation therapy produced rapid and complete resolution of his symptoms. We suggest that more discrete classification of the ""xanthomatoses"" of the neurologic literature may provide the basis for choosing nonsurgical intervention in selected cases. "
51	Peripheral venous blood samples were drawn before and after induction of adjuvant arthritis in rabbits at intervals of 15 days. Using these samples, biochemical parameters were measured, including total protein, albumin, globulin, cholesterol, alkaline phosphatase, glutamic oxaloacetic transaminase and glutamic pyruvic transaminase. The various biochemical tests exhibited an abnormal pattern in adjuvant animals as compared to the normal rabbits. The significance of these findings has been discussed. 
52	The effect of haemorrhagic shock on the simultaneous appearance of enteric micro-organisms in the central lymph and the portal blood was studied in 30 dogs. Irreversible haemorrhagic shock results in portal bacteraemia but the lymph remains sterile. Thoracic duct drainage is harmful and hastens the onset of irreversibility. 
53	Fifteen patients with early syphilis were seen between May 1974 and March 1975. These 15 patients comprised all the cases of early syphilis that were seen in Edinburgh during this period. Three of them were men of whom two were homosexual. Liver function tests in these three gave abnormal results. 
54	Superoxide dismutase and glutathione peroxidase activities have been determined in newborns. Their mean values are approximately the same as in normal adults. In some cases a low content of superoxide dismutase and/or a high (superoxide dismutase/glutathione peroxidase) ratio are associated with hematological symptoms. In addition, a low superoxide dismutase activity is associated with hyperbilirubinemia and is present in two of the three cases showing maximal acetylphenylhdrazine-induced hemoloysis. 
55	A 28-yr-old woman was admitted to hospital after a suicide attempt in which she had taken 5600 mg verapamil. On admission she exhibited bradycardia and pronounced hypotension; ECG revealed AV dissociation which persisted for 7 1/2 h after admission. She was discharged well 36 h later. 
56	3H-Spiroperidol of high specific radioactivity labels dopamine receptors in membranes of bovine caudate nucleus and anterior pituitary. The saturation and kinetic properties of 3H-spiroperidol binding are similar in the two tissues. In both caudate and pituitary 3H-spiroperidol displays very high affinity with a dissociation constant of 0.2-0.3 nM. The relative potencies of numerous dopamine agonists and antagonists in competing for 3H-spiroperidol binding are closely similar in anterior pituitary and caudate. 
57	Aldosterone injected i.m. decreased the release of renomedullary PGEs and the index (urinary Na/K ratio) in conscious normotensive intact and adrenalectomized rats. Coadministration of spironolactone increased the release of PGEs as well as the index (urinary Na/K ratio). The effect of spironolactone was partly inhibited by aspirin injected in a ratio 5:1 (aspirin:spironolactone), and effect which could be reversed by the infusion of a synthetic prostaglandin (PGA2) in a subhypotensive dose. 
58	"A study to assess the evolution of the disease in non-lepromatous group, who have taken no treatment in a six year period 1970-1975, was undertaken. Among the 714 patients who did not take treatment, only 432 cases (60.5%) could be examined. The majority of these patients (425) had single lesions. The study revealed that nearly 74% of these ""N"" patients became self-healed. "
59	Experimental investigations have shown that antiaggregants affect the size rather than the rate of venous thrombosis, while clinical trials with prophylactic acetylsalicylic acid have indicated primarily a reduced incidence of pulmonary embolism. Current experiences with acetylsalicylic acid in combination with dipyridamole or low-dose heparin suggest that the incidence of pathology diagnosed by 125I-fibrinogen and of deep vein thrombosis is equally reduced. 
60	The ability of 8-ethoxycarbonyl-10, 11 dihydro-A-prostaglandin(HR 546) to antagonise smooth muscle contracting effect of prostaglandins E2 and F2alpha on isolated preparations of rat and hamster stomach fundus, guinea pig ileum and gerbil colon has been studied. HR 546 was found to be a potent, non-specific, probably competitive, prostaglandin antagonist on these four smooth muscle preparations. 
61	Radioimmunoassay of 5alpha, 7alpha-dihydroxy-11-keto-tetranor-prosta-1,16-dioic acid, main urinary metabolite of prostaglandin F2alpha (PGF2alpha-MUM), was performed in normal subjects. Twenty-four hours secretion of PGF2alpha-MUM were 29.04 +/- 9.73 microgram in males and 18.22 +/- 5.88 microgram in females on an average. And an oral administration of aspirin resulted in the remarkable decrease of PGF2alpha-MUM in both sexes. 
62	A health examination survey showed that 5.7% of 2322 middle-aged men had a haematocrit value below 40%. Only 1.2% had two consecutive low values. 14 men had no bone marrow haemosiderin and increased their haematocrits following iron therapy. In 13 men with no cause of the anaemia detected there was also a significant increase in haematocrit following therapy. The true prevalence of iron deficiency anaemia in this population may be estimated to about 1%. 
63	A total of 1,847 serum samples obtained from human subjects in various areas of Nigeria (North, East and West) were tested for the presence of rubella haemagglutination inhibition antibodies. The results showed that an average of 68% of the Nigerian population studied possessed rubella antibody. 
64	Physical loading affects the patterns of cholesterol metabolism in patients with obesity. Content of total cholesterol was altered in blood serum after loading depending on its initial level: it was increased if the initial level was low; if the initial content of cholesterol was high physical loading caused a hypocholesterolemic effect. Level of cholesterol esters was often decreased after loading. Physical loading activated lecithin-cholesterol-acyl transferase in blood plasma. 
65	Organ cultures are a suitable in vitro test--object for pretherapeutical testing of cytostatic resistance on carcinomas of the cervix uteri. The decrease of activity of lactic dehydrogenase and isocitric acid dehydrogenase, determined histochemically, can be used to monitor cytostatic effects at the cultivated tumour. In preparing chemotherapy schedules for advanced cervical carcinomas, cytostatic agents provedly ineffective in vitro should be avoided. 
66	The spontaneous contractility of the rat epididymis was recorded in vivo and the effects of cyproterone acetate were studied. At 7 days after cyproterone acetate daily administration the records of the epididymal contractility did not show significant differences from the records obtained in control animals. On the contrary, in animals injected during 11 days the amplitude and frequency of epididymal contractions showed a significant decrease, and this activity completely ceased at 14 days of treatment. 
67	Methylprednisolone is more effective than prednisolone in mediating long-term cytolysis and immediate inhibition of nucleoside uptake in human lymphoblastoid cells. This suggests that methylation of prednisolone makes it more potent by aiding interaction with a cellular target rather than increasing its stability. 
68	In a large, open, multicentre trial, conducted in general practice, 765 patients suffering from agoraphobia or social phobias were treated with clomipramine (Anafranil, Geigy Pharmaceuticals). Four hundred and eight patients completed a twelve-week course of treatment. Of 285 withdrawals, 139 were due to side-effects. Good results were obtained on all measures of phobias in those patients who completed the study, the improvements being of the order of 70-80%, and over 50% of patients being symptom-free. 
69	The sera from 50 psoriatic patients, 130 patients with other skin diseases and from 24 healthy blood donors were tested for the presence of circulating immune complexes. By means of the 125I-C1q deviation test a positive result was obtained in 70% of the sera from psoriatic patients as compared to 8% in the healthy controls. 
70	Patients undergoing maintenance haemodialysis exhibited at a regular level of ascorbic acid in plasma a decreased concentration of ascorbic acid in leukocytes. Therefore, the ascorbic acid should be administered in a high dosage to patients undergoing chronic haemodialysis, in order to prevent a vitamin-C deficiency in leukocytes. 
71	A 30-year-old veteran heroin addict being treated with methadone maintenance suffered renal failure. He underwent haemodialysis, peritoneal dialysis and cadaveric renal transplantation while being maintained on methodone. This report illustrates long-term treatment of heroin addicts with renal failure. 
72	On the basis of an analysis of the clinical condition and electromyographic changes in 9 patients treated with Lioresal and 3 controls attention is called to the favourable effect of Lioresal in hemiparesis of cerebral origin. Lioresal was given in daily doses of 50 mg and no unfavourable side effects were observed. Reduction of muscular hypertonia and improvement of general motor activity was obtained. 
73	Buformin at a concentration of 1--2.5 mM stimulates solubilized carnitine palmitoyltransferase by reducing the inhibitory effect of palmitoyl-CoA. Neither buformin nor metformin inhibits the solubilized carnitine palmitoyltransferase. 
74	The authors present a method using cerebral tomodensitometry to establish anatomo-clinical correlations in aphasia. They confirm, in their broad lines, the results of previous studies. They stress the importance of the material that could be studied by this method and define the ideal conditions in which future work should be carried out. (Acta neurol. belg., 1977, 77, 351-362). 
75	The rapid disposal of antibody-treated vibrios by peristalsis in whole animal models makes it difficult to obtain clear evidence for a simultaneous intra-intestinal bactericidal effect. In this paper we have re-examined the evidence for direct intra-intestinal killing. We have found that the data can be explained adequately by peristaltic effects without postulating a direct bactericidal action in vivo. 
76	1000 chickens were used to investigate up to 24 weeks under high environmental temperatures the addition of different types (oxytetracycline and oleandomycin) and different levels (5 or 20 ppm) of antibiotics to the basal diet. Supplementation with 20 ppm had--with both types of antibiotics--a marked positive effect on the growth rate and various quality characteristics of the products. The effect was higher in male animals than in females. 
77	Three cases of tropical fish tank granuloma caused by Mycobacterium marinum (balnei) are described. Abundant acid fact bacilli were demonstrated in homogenates prepared from the fish thus providing early confirmation of the suspected clinical diagnosis: acid fast bacilli could not be demonstrated in biopsy material from the patients' lesions through M. marinum grew on culture. The infection responded to oral co-trimoxazole. 
78	A patient with the clinical picture of quadriceps myopathy was shown to have an underlying myositis. Review of the literature showed myositis to be a rare cause of the 'quadriceps syndrome' but it is important to identify this group because they are potentially treatable with corticosteroids. 
79	167 cases of threatened premature birth were treated with Fenoterol, Fenoterol + Verapamil and Ritodrine. In 70-79% of cases a newborn of over 2500 g was achieved. In 70-76% it was possible to prolong the pregnancy for over 7 days and in 61-64% a gestation age of 37 weeks and more was reached. Special attention was paid to the facts as to whether the general side effects of Fenoterol can be antagonized with Verapamil. 
80	The percentage of E-rosettes and active E-rosettes was determined in untreated patients with Hodgkin's disease. All patients had numbers of peripheral blood lymphocytes within the normal range (1,200-5,000 lymphocytes/cu mm). The mean percentage of E-rosettes was significantly lower in the patients (55 +/- 15.7) as compared to normal controls (63 +/- 6.7). No difference in the percentage of active E-rosettes was found (36.6 +/- 8.6 in controls versus 40.3 +/- 10.8 in patients). 
81	The results of the pharmacologic study of some synthesized derivatives of carbamic and carbonic acids show that the compounds are biologically active. They are less toxic than imipramine, and exert a marked excitation effect on the central nervous system. Some of the compounds (including PS-1, P-8-Y and PS-4) possess greater antidepressive action than imipramine. 
82	A casus of so-called nodular mesenteric pseudoxanthomatosis (Schaefer) was investigated by a 73 years old woman. This special findings in the mesenteric lymphnodes were interpreted as changes after inflammatory or infectious diseases in the alimentary tract. For the exact designation was proposed the term lymphonodular mesenteric pseudoxanthomatosis. 
83	An account is presented of the experience acquired in the prolonged prednisolone treatment, at 2-day intervals, of 6 patients with Hand-SchĂĽller-Christian disease. A substantial improvement was observed in the basic process, with scarcely any side-effects. On the basis of the literature data and the present findings, glucocorticoid administration every second day is recommended for the treatment of these patients. 
84	Esters of theophylline-7-acetic acid with different amino alcohols were prepared as possible atropine substitutes, together with esters of some hydroxy acids with beta-hydroxyethyl theophylline. Moreover, esters possessing both theophyllinyl and piperazinyl moieties were prepared with the hope that their spasmolytic activity might be increased. Some of the prepared compounds proved to possess atropine-like activity. 
85	36 year old man developed fever and polyarthralgias 1 month after starting allopurinol with leukocytosis [bilirubin 4.7 mg/dL, AST 145 U/L, Alk P 875 U/L] and liver biopsy showing multiple noncaseating granulomas and cholangitis, resolved on stopping and follow up liver biopsy was normal.
86	Among 319 patients with tuberculosis treated with isoniazid and rifampin, 45 [14%] had minor transient ALT elevations and 13 [4%] had ALT >150 U/L; major risk factor was age; acetylator status not associated with ALT elevations overall, but weakly with early high elevations.
87	7 patients with systemic lupus or connective tissue disorder on aspirin [1.8-3.6 g daily] had AST elevations of 160-300 U/L, all asymptomatic, none jaundiced, all resolving within 10 days of stopping.
88	26 year old woman on amodiaquine prophylaxis developed skin abscess, septicemia and white count of 300/µL with no neutrophils; liver tests were “consistent with hepatocellular damage”, but no specifics given.
89	Two patients, one man and one woman both with IgM deficiency, developed elevations in bilirubin [1.9 and 12.7 mg/dL], ALT [135 and 530 U/L] and Alk P [1-2 times ULN] 6 months and two weeks after starting hydralazine, and both had more rapid recurrence on restarting.
90	Among 102 children with juvenile rheumatoid arthritis on aspirin, 5% had elevations in ALT [91% when tested serially], usually mild and self-limited, correlating poorly with dose and salicylate levels; excellent example of adaptation.
91	11 children with acute rheumatoid fever given aspirin and followed for AST and salicylate levels; 6 had AST elevations of 20-505 U/L [only with salicylate levels >19.2 mg/dL] and 10 had eosinophilia >600/?L; all asymptomatic.
92	Among 160 patients with psoriasis treated with methotrexate, 92 had a single liver biopsy on therapy of whom 1% had cirrhosis and 7% fibrosis [correlated with alcohol intake and age but not total dose]; among 68 with two liver biopsies on therapy [total dose 175-5568 mg], 21% had cirrhosis and 24% fibrosis, fibrosis correlating with alcohol intake during therapy, obesity and older age, but cirrhosis found almost only in patients with >2 g methotrexate exposure.
93	Study of a family with 4 members with benign recurrent intrahepatic cholestasis [BRIC], 9 with cholestasis of pregnancy and two with cholestasis on OCCs; one BRIC patient had recurrent episodes of cholestasis during pregnancies; suggesting shared pathogenesis of these three cholestatic syndromes.
94	25 year old woman on OCCs for 6 years presented with several hepatic masses, one resected showed probable adenoma, the other regressed in size during follow up off of OCCs.
95	Overview of the clinical spectrum, diagnosis and therapy of leprosy from the US Public Health Service hospital in Carville, Louisiana discusses use of clofazimine which was an experimental medication at the time and only available from Carville.
96	55 year old woman developed fever and arthralgias [but no rash or eosinophilia] 4 weeks after starting allopurinol [bilirubin 0.9 mg/dL, ALT 140 U/L and Alk P 900 U/L] and biopsy showing granulomas; improved with stopping drug and had normal values and liver histology 3 months later during cholecystectomy.
97	The influence of chronic intrapregnancy hypoxia caused by mother's diseases (toxemia, gravidarum, hypochromic anemia, diabetes) on the brain of a mature newborn has been investigated. Besides the vast damages of the parieto-occipital cortex, Ammon's horn (entorhinal) motor and insula cortex there were also some damages of the cerebellum and the brain stem cells. The damages of the cells in the brain stem seem to be one of the causes of the abnormal perinatal adaption. 
98	Only a small amount of noise caused, combined with a nutritional Mg deficiency, a significant increase of collagen in the myocard of rats. While Mg deficiency or noise each for its own had no effect, the combination of both had a noxious effect. The results of these experiments give a hint to a correlation between collagen-increase in the myocard and an increase of urinal Catecholamine during the same time. 
99	In 6 patients with chronic lymphatic leukaemia receiving subcutaneously purified calf thymus extract a greater frequency of the following processes was observed: 1) increase in the number of smooth-surface lymphocytes (T cells) in scanning electron microscopy, 2) increased number of lymphocytes forming rosettes with uncoated sheep erythrocytes, 3) increased number of lymphocytes showing high activity of acid phosphatase in cytochemical investigations. 
100	The diagnosis of infectious hepatitis was made in a football player at East Carolina University in the 3rd week of fall practice in 1974. Clinical and laboratory evaluation of all persons involved in the program followed. All participants received immune serum globulin. No further cases were identified. Serum chemistry and enzyme levels were determined under uncontrolled conditions. Lactate dehydrogenase and alkaline phosphatase were generally elevated. 
101	Three patients with miliary tuberculosis developed the adult respiratory distress syndrome. In two patients this complication developed despite treatment with antituberculous drugs. The third patient developed the syndrome, but miliary tuberculosis was not suspected. The presence of disseminated intravascular coagulation in all three cases suggests a possible pathophysiologic relation. Miliary tuberculosis should be considered in patients presenting with adult respiratory distress syndrome of unknown cause. 
102	Acute renal insufficiency developed in three patients receiving chemotherapy for tuberculosis. It is proposed that acute diffuse interstitial nephritis related to the drugs was responsible for the renal injury. Recovery of renal function was slow and incomplete. Physicians administering chemotherapy to patients with tuberculosis must be aware of the potential nephrotoxicity of the common treatment regimens. 
103	Cefamandole readily diffuses from the serum into soft tissue interstitial fluid. The rate of diffusion differs little from that of cephalothin. The concentrations of antibiotic were greater in bile and urine during the entire period of study than is necessary to kill susceptible pathogenic bacteria present in these fluids. 
104	Five male and five female pure-bred White New Zealanders, including newborns and young animals, one, two, and three months of age, were examined. No sex-dependent difference was established for the parameters tested (weight of liver, heart, and adrenal gland). Significant weight differences were found to exist between the age groups. The relative weights of the organs under review declined along with growing age. Correlations were found to exist between the weights of liver, heart, and adrenal gland. 
